model,split,mae_mw,rmse_mw,top5_recall
seven_day_baseline,rolling_cv_2022_2024,1410.8655017328492,2081.9260104461378,0.0
ridge_10,rolling_cv_2022_2024,552.3648222396638,712.399345926619,0.7333333333333334
hgb_7_leaf,rolling_cv_2022_2024,499.3821636031624,693.3792185530123,0.7333333333333334
hgb_15_leaf,rolling_cv_2022_2024,501.93818459336944,699.1701730961763,0.7333333333333334
ensemble_hgb75_ridge25,rolling_cv_2022_2024,462.48537409863394,634.4201540332868,0.6666666666666666
ensemble_hgb75_ridge25,retrospective_test_2025,423.5871415863352,608.1067935032066,0.8
